Wall time,Step,Value
1666493919.3982244,92880,-7730.1162109375
1666493975.2642608,93600,-10973.0859375
1666494030.5593097,94320,-10129.8984375
1666494086.842282,95040,-13037.3671875
1666494139.5424469,95760,-4991.94287109375
1666494192.0554068,96480,-4741.24560546875
1666494246.1856346,97200,-9073.37109375
1666494302.760817,97920,-12574.5361328125
1666494358.9224727,98640,-12955.7861328125
1666494414.02989,99360,-9855.1240234375
1666494469.455465,100080,-10157.59375
1666494524.7575731,100800,-12038.845703125
1666494578.871124,101520,-9701.7041015625
1666494634.0871813,102240,-8964.7724609375
1666494689.1977856,102960,-10224.8544921875
1666494742.9082024,103680,-7569.3076171875
1666494796.0647132,104400,-6325.53369140625
1666494851.8070352,105120,-9875.7373046875
1666494904.0471473,105840,-4728.5947265625
1666494956.822329,106560,-6125.626953125
1666495013.340676,107280,-12491.8759765625
1666495067.7143252,108000,-8631.1865234375
1666495121.451321,108720,-7875.32421875
1666495176.5909214,109440,-9317.4150390625
1666495232.222355,110160,-12207.884765625
1666495286.5115693,110880,-8654.380859375
1666495341.0965385,111600,-9286.251953125
1666495397.6405609,112320,-10493.6943359375
1666495450.1667027,113040,-4438.92626953125
1666495502.3274667,113760,-5122.1650390625
1666495557.0850391,114480,-10622.5166015625
1666495611.6704829,115200,-8022.4912109375
1666495665.6460364,115920,-6731.10498046875
1666495718.6238902,116640,-5328.7119140625
1666495776.8337753,117360,-14996.8310546875
1666495830.973364,118080,-10035.3642578125
1666495886.1889617,118800,-10408.9580078125
1666495940.2171378,119520,-7642.09326171875
1666495993.3362172,120240,-5451.20849609375
1666496045.645253,120960,-5281.904296875
1666496102.4182076,121680,-13434.5009765625
1666496154.3822422,122400,-4812.65087890625
1666496207.0729086,123120,-5731.43701171875
1666496263.288331,123840,-13125.8388671875
1666496317.730603,124560,-8360.2001953125
1666496370.3425424,125280,-5419.11572265625
1666496424.582377,126000,-9057.2587890625
1666496482.4068718,126720,-15681.05859375
1666496538.6586304,127440,-11806.4140625
1666496594.4667192,128160,-9647.423828125
1666496648.392385,128880,-7828.638671875
1666496704.2105896,129600,-12041.255859375
1666496757.2843792,130320,-6545.72607421875
1666496813.5839994,131040,-11425.0869140625
1666496865.1751783,131760,-4361.09521484375
1666496917.5258522,132480,-4186.27880859375
1666496971.9709868,133200,-8795.263671875
1666497026.2267017,133920,-8220.005859375
1666497080.1192935,134640,-8395.802734375
1666497134.880444,135360,-9324.0029296875
1666497193.212315,136080,-15470.720703125
1666497249.8180325,136800,-12062.484375
1666497302.8125694,137520,-6324.93994140625
1666497358.8731358,138240,-11918.6962890625
1666497410.161989,138960,-2894.158203125
1666497462.595277,139680,-5364.583984375
1666497516.340323,140400,-7758.6396484375
